,text,favourite_count,retweet_count,created_at
148,Quiero ver fast and furious 9 😫,7,0,2021-09-01 00:35:43
149,RT @sh0w3d: I’m embarrassed to live in a world that’s allowed 9 fast and furious movies,0,422,2021-09-01 00:33:29
150,RT @sh0w3d: I’m embarrassed to live in a world that’s allowed 9 fast and furious movies,0,422,2021-09-01 00:27:39
151,https://t.co/c5O4oTSMfT @HelenLOHara @ChrisHewitt @BenSTravis @AmonWarmann time to update that spoiler special lol,0,0,2021-09-01 00:21:09
152,RT @3DScinceguy: In our HS BGCS we Going Fast &amp; Furious 9 with PEs in our Phenomena- based Unit 1 on  Motion and Forces @PgcpsScience @pgcp…,0,1,2021-08-31 23:57:37
153,"Holy moly, they did another fast and furious movie?! There's 9 total! I'm going to be so disappointed if they don't name the next one ""Fast 10: Your Seatbelt""",4,1,2021-08-31 23:07:04
154,Im such a big fan of the fast and furious movies but cmon faf 9 was so bad the only thing what was good was the end scene,5,0,2021-08-31 22:28:21
155,@ceresans Cosplay fast and furious 9🙏🏼,0,0,2021-08-31 21:07:08
156,"@AcidOverride23 @Naughty_Dog I can see why they changed the script Sam being the villain and wanting revenge on Nathan was very cliche and predictable, I recently watched Fast and the furious 9 and it was similar to the concept that Amy was going for.",1,0,2021-08-31 19:11:09
157,Fast and furious 1-9 let’s gooooo🥰,0,0,2021-08-31 18:59:53
158,RT @sh0w3d: I’m embarrassed to live in a world that’s allowed 9 fast and furious movies,0,422,2021-08-31 18:52:01
159,bro wtf was fast and furious 9,0,0,2021-08-31 18:38:50
160,@Salem_Cinemas Salem Inox la Screen 2 open panalaya bro Fast and Furious 9 Booking 1 and 3 tha available iruku. Screen 1 and 3 nalla irukuma??,0,0,2021-08-31 18:38:10
161,fast and furious 9 https://t.co/SkXVMAPlm0,1,0,2021-08-31 18:36:10
162,RT @sh0w3d: I’m embarrassed to live in a world that’s allowed 9 fast and furious movies,0,422,2021-08-31 18:29:59
163,"Fast and Furious 9 doesn’t make sense so far but fuck it, i’ve been watching every FF as it comes out, might as well see it through",1,0,2021-08-31 18:26:42
164,"Just finished watching fast n furious 9, n I’m all for fiction and entertainment kodwa ayi ngeke this 3much 🤦🏿",0,0,2021-08-31 18:17:27
165,@ubaldi @SamsungFR #UbaldiJeVeuxVibrer devant le film Fast and Furious 9,0,0,2021-08-31 17:54:54
166,"RT @asnanih97: September month for others vs CA students ​
Others waiting for
Money heist 
Shang chi 
Black widow 
Fast and furious 9
Lucif…",0,4,2021-08-31 17:53:19
167,RT @sh0w3d: I’m embarrassed to live in a world that’s allowed 9 fast and furious movies,0,422,2021-08-31 17:47:18
168,RT @xrtghost: Fast and furious 9 set coming soon https://t.co/8w3Lb49LkG,0,7,2021-08-31 17:44:24
